A Plague Tale: Innocence,27316
Alien: Isolation,4754
Among Us,111469
Ape Out,27719
Automachef,107217
Car Mechanic Simulator 2018,40470
Celeste,26226
Control,103329
Darkest Dungeon,8965
Darksiders II: Deathinitive Edition,20048
Darksiders: Warmastered Edition,25081
Dauntless,26166
Dishonored: Death of the Outsider,37030
Enderal: Forgotten Stories,109367
Enter the Gungeon,11182
Hand of Fate 2,18645
Hello Neighbor,18167
Hitman,11157
Little Inferno,1363
Loop Hero,141533
Maneater,46800
Nioh: Complete Edition,68461
Overcooked! 2,103341
Oxenfree,14587
PC Building Simulator,27792
Prey,19531
Rebel Galaxy,11719
Rise of the Tomb Raider: 20 Year Celebration,23331
Sable,79995
Shadow Tactics: Blades of the Shogun,19085
Shadow of the Tomb Raider: Definitive Edition,123051
Shadowrun Returns,3020
Shadowrun: Dragonfall - Director's Cut,8864
Shadowrun: Hong Kong,11772
Slime Rancher,16287
Star Wars: Squadrons,134706
Stardew Valley,17000
Steep,19554
Subnautica,9254
SuperHot,7205
The Legend of Zelda: Breath of the Wild,7346
Tomb Raider: Game of the Year Edition,53818
TowerFall Ascension,9567
Void Bastards,111846
Watch Dogs 2,19441
Xenoblade Chronicles 2,26766
Xenoblade Chronicles 3,191411
Yooka-Laylee and the Impossible Lair,119259